name,area,lat,long,day
DCIM,tajoura,32.5364843,12.4264163,183
DCIM,tajoura,32.5364843,12.4264163,127
,abu salim,32.8409943,13.1573295,106
nearby,abu salim,32.3409943,13.3573295,106
several streets away,abu salim,32.6409943,13.2573295,106
,qasr bin ghashir,32.6877953,13.1651342,134
,tajoura,32.8170084,13.3426625,166
,salaheddin,32.807251,13.4855297,163
,tarhouna,32.4314085,13.6202787,117
,qasr bin ghashir,32.5877953,13.1651342,203
,sidi sayah,32.5824113,13.27268,184
nearby,sidi sayah,32.5824113,13.17268,203
,qasr bin ghashir,32.6877953,13.2651342,174
,mitiga airport,32.3219173,15.0552177,244
,souq a-jumaa,32.8801992,13.22815,210
south of,mitiga airport,32.315622,15.0552131,203
nearby,mitiga airport,32.3190535,15.0472602,198
,souq a-jumaa,32.8801992,13.12815,223
east of,mitiga airport,32.3291341,15.0612749,210
,tripoli international,32.6131819,13.1333056,208
,al-swani,32.7120445,13.0540038,157
,ain zara,32.8166842,13.2579122,218
